TICKER,NAME,LEI,CIK,LATEST_FILING_DATE
A,Agilent Technologies Inc,QUIX8Y7A2WP0XRMW7G29,1090872,6/6/2017
AA,Alcoa Corp,ABPN11VOHLHX6QR7XQ48,1675149,5/10/2017
AAAP,Advanced Accelerator Applications SA,,,
AAC,AAC Holdings Inc,549300DGB1REPZB88Q89,1606180,5/4/2017
AAL,American Airlines Group Inc,,6201,4/27/2017
AAMC,Altisource Asset Management Corp,,1555074,5/9/2017
AAME,Atlantic American Corp,,8177,5/12/2017
AAN,Aaron's Inc,,706688,5/3/2017
AAOI,Applied Optoelectronics Inc,,1158114,5/9/2017
AAON,AAON Inc,,824142,5/4/2017
AAP,Advance Auto Parts Inc,,1158449,5/24/2017
AAPC,Atlantic Alliance Partnership Corp,,1630940,5/10/2017
AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,320193,5/3/2017
AAT,American Assets Trust Inc,,1500217,5/5/2017
AAU,Almaden Minerals Ltd,,1015647,
AAV,Advantage Oil & Gas Ltd,,1259995,
AAVL,Adverum Biotechnologies Inc,,1501756,5/9/2017
AAWW,Atlas Air Worldwide Holdings Inc,,1135185,5/3/2017
AB,AllianceBernstein Holding LP,,825313,4/27/2017
ABAC,Aoxin Tianli Group Inc,,1486299,5/12/2017
ABAX,Abaxis Inc,,881890,5/30/2017
ABB,ABB Ltd,5493000LKVGOO9PELI61,1091587,
ABBV,AbbVie Inc,FR5LCKFTG8054YNNRU85,1551152,5/5/2017
ABC,AmerisourceBergen Corp,AI8GXW8LG5WK7E9UD086,1140859,5/4/2017
ABCB,Ameris Bancorp,PBJHNT51T5V6G5UQFV42,351569,5/10/2017
ABCD,Cambium Learning Group Inc,,1466815,5/4/2017
ABCO,Advisory Board Co,549300IDOPVLNF25KU43,1157377,5/9/2017
ABCW,Anchor BanCorp Wisconsin Inc ,,885322,3/11/2016
ABDC,Alcentra Capital Corp,549300HZBY88PCH8IZ78,1578620,5/5/2017
ABE,"Aberdeen Emerging Markets Smaller Company Opportunities Fund, Inc",,,
ABEO,Abeona Therapeutics Inc,54930002Z8PIJRCB4576,318306,5/15/2017
ABEV,Ambev SA,549300TH5Q6VRP8OT012,1565025,
ABG,Asbury Automotive Group Inc,549300JH4DTA7U42GL91,1144980,4/27/2017
ABGB,Abengoa SA ,8ZQH7RR6DBQZIX8PEQ84,1161785,
ABIL,Ability Inc,,1652866,
ABIO,ARCA Biopharma Inc,,907654,5/15/2017
ABM,ABM Industries Inc,QF02R89VEIOROM77J447,771497,6/8/2017
ABMD,Abiomed Inc,5493001EZN4ZTB4Z5887,815094,5/25/2017
ABR,Arbor Realty Trust Inc,,1253986,5/5/2017
ABS,"Albertsons Companies, Inc.",,3333,5/31/2006
ABT,Abbott Laboratories,HQD377W2YR662HK5JX27,1800,5/3/2017
ABTL,Autobytel Inc,,1023364,5/4/2017
ABTX,Allegiance Bancshares Inc,,1642081,5/5/2017
ABUS,Arbutus Biopharma Corp,,,
ABX,Barrick Gold Corp,0O4KBQCJZX82UKGCBV73,756894,
ABY,Atlantica Yield PLC,,1601072,
AC,Associated Capital Group Inc,,1642122,5/3/2017
ACAD,ACADIA Pharmaceuticals Inc,,1070494,5/9/2017
ACAS,American Capital Ltd,IX05XKCONTEBR8CL9Q86,817473,11/3/2016
ACAT,Arctic Cat Inc,549300T3W8Y3L9D3CQ28,719866,2/6/2017
ACBI,Atlantic Capital Bancshares Inc,5493005URKIOUNJO6097,1461755,5/9/2017
ACC,American Campus Communities Inc,,1283630,5/5/2017
ACCO,ACCO Brands Corp,JCT8P4Y190IH4I1NX328,712034,5/9/2017
ACET,Aceto Corp,7MUSABK5TKG3168JQL21,2034,5/5/2017
ACFC,Atlantic Coast Financial Corp,,1404296,5/10/2017
ACFN,Acorn Energy Inc,,880984,5/15/2017
ACG,Alliancebernstein Income Fund Inc,J4DGJCPMXNWU97A1BX15,816754,
ACGL,Arch Capital Group Ltd,,947484,5/5/2017
ACGLP,Arch Capital Group Ltd,,,
ACH,Aluminum Corp of China Ltd,,1161611,
ACHC,Acadia Healthcare Company Inc,5493005CW985Y9D0NC11,1520697,4/26/2017
ACHN,Achillion Pharmaceuticals Inc,,1070336,5/4/2017
ACIA,Acacia Communications Inc,,1651235,5/9/2017
ACIU,AC Immune Ltd,,1651625,
ACIW,ACI Worldwide Inc,,935036,5/4/2017
ACLS,Axcelis Technologies Inc,,1113232,5/5/2017
ACM,AECOM,0EEB8GF0W0NPCIHZX097,868857,5/10/2017
ACN,Accenture PLC,,1467373,6/22/2017
ACNB,ACNB Corp,,715579,4/28/2017
ACOR,Acorda Therapeutics Inc,5493007NPB5YRM8QGL53,1008848,5/9/2017
ACP,Avenue Income Credit Strategies Fund,,,
ACPW,Active Power Inc,,1044435,3/14/2017
ACRE,Ares Commercial Real Estate Corp,549300ZNO5IWXS443S81,1529377,5/2/2017
ACRS,Aclaris Therapeutics Inc,5493000B2LQ9QTW1DF52,1557746,5/9/2017
ACRX,AcelRx Pharmaceuticals Inc,,1427925,5/8/2017
ACSF,American Capital Senior Floating Ltd,549300BKMXE0NNO0P072,1581934,5/10/2017
ACST,Acasti Pharma Inc,,1444192,
ACTA,Actua Corp,549300Z58VWYRMOUS305,1085621,5/8/2017
ACTG,Acacia Research Corp,,934549,5/10/2017
ACTS,Actions Semiconductor Co Ltd,,1342068,
ACU,Acme United Corp,,2098,5/12/2017
ACUR,Acura Pharmaceuticals Inc,549300O2I06DTW1IM738,786947,5/12/2017
ACV,AllianzGI Diversified Income & Convertible Fund,,1636289,
ACW,Accuride Corp,,817979,11/1/2016
ACXM,Acxiom Corp,76MIROMHC0FSWDR2G072,733269,5/26/2017
ACY,AeroCentury Corp,,1036848,5/11/2017
ADAP,Adaptimmune Therapeutics PLC,549300UUNWK8TRT5EW12,1621227,5/10/2017
ADAT,Authentidate Holding Corp,,885074,6/27/2017
ADBE,Adobe Systems Inc,FU4LY2G4933NH2E1CP29,796343,6/28/2017
ADC,Agree Realty Corp,,917251,4/24/2017
ADEP,Adept Technology Inc ,,865415,8/31/2015
ADES,Advanced Emissions Solutions Inc,5493003QMZVVPZYLOM88,1515156,5/8/2017
ADGE,American DG Energy Inc,,1378706,5/12/2017
ADHD,Alcobra Ltd,,1566049,
ADI,Analog Devices Inc,GYVOE5EZ4GDAVTU4CQ61,6281,5/31/2017
ADK,Adcare Health Systems Inc,,1004724,5/15/2017
ADM,Archer Daniels Midland Co,549300LO13MQ9HYSTR83,7084,5/2/2017
ADMA,ADMA Biologics Inc,,1368514,5/12/2017
ADMP,Adamis Pharmaceuticals Corp,549300EBMD9JZ2H87I37,887247,5/12/2017
ADMS,Adamas Pharmaceuticals Inc,,1328143,5/9/2017
ADNC,Audience Inc ,,1201663,5/11/2015
ADNT,Adient PLC,,1670541,5/1/2017
ADP,Automatic Data Processing Inc,HGBOLILQXWER4SAL2I23,8670,5/4/2017
ADPT,Adeptus Health Inc,,1602367,11/9/2016
ADRO,Aduro Biotech Inc,549300X0O3003W5QYQ48,1435049,5/2/2017
ADS,Alliance Data Systems Corp,549300G8S4PO686J7H97,1101215,5/8/2017
ADSK,Autodesk Inc,FRKKVKAIQEF3FCSTPG55,769397,5/31/2017
ADSW,Advanced Disposal Services Inc,549300ML1GEF4BKIM713,1585790,5/8/2017
ADT,ADT Corp ,5493009JEEDYLVRA0J13,1546640,6/14/2016
ADTN,ADTRAN Inc,549300XWTHXJVGKWU616,926282,5/3/2017
ADUS,Addus Homecare Corp,,1468328,5/9/2017
ADVS,Advent Software Inc ,,1002225,5/7/2015
ADX,Adams Diversified Equity Fund,,2230,
ADXS,Advaxis Inc,549300W71T0G7C14IM07,1100397,6/6/2017
ADZ,DB Agriculture Short ETN,,,
AE,Adams Resources & Energy Inc,UP28TXL7K8XSRNNC7V02,2178,5/9/2017
AEB,Aegon NV,O4QK7KMMK83ITNTHUG69,769218,
AEC,Associated Estates Realty Corp ,,911635,7/31/2015
AEE,Ameren Corp,XRZQ5S7HYJFPHJ78L959,1002910,5/5/2017
AEGN,Aegion Corp,549300AG3DVJURRIT691,353020,5/3/2017
AEGR,Aegerion Pharmaceuticals Inc,549300PFYFSCKFOY5J36,1338042,11/4/2016
AEHR,AEHR Test Systems,,1040470,4/6/2017
AEIS,Advanced Energy Industries Inc,549300756XI3QLFT2U27,927003,5/1/2017
AEL,American Equity Investment Life Holding Co,549300RK5RZQ740FPL83,1039828,5/9/2017
AEM,Agnico Eagle Mines Ltd,YGE0EUBRF7IJOB3QRX76,2809,
AEMD,Aethlon Medical Inc,54930036LMXCIW3XG337,882291,6/28/2017
AEO,American Eagle Outfitters Inc,,919012,5/23/2017
AEP,American Electric Power Company Inc,1B4S6S7G0TW5EE83BO58,4904,4/28/2017
AEPI,AEP Industries Inc,549300OADNJ3F7WOEZ23,785787,1/17/2017
AER,AerCap Holdings NV,549300SZYINBBLJQU475,1378789,
AERI,Aerie Pharmaceuticals Inc,,1337553,5/3/2017
AES,AES Corp,2NUNNB7D43COUIRE5295,874761,5/8/2017
AET,Aetna Inc,549300QKBENKLBXQ8968,1122304,5/2/2017
AETI,American Electric Technologies Inc,,1043186,5/15/2017
AEY,ADDvantage Technologies Group Inc,,874292,5/15/2017
AEZS,AEterna Zentaris Inc,,1113423,
AF,Astoria Financial Corp,,910322,5/5/2017
AFAM,Almost Family Inc,,799231,5/10/2017
AFB,AllianceBernstein National Municipal Income Fund,,,
AFC,Allied Capital Corp,,3906,2/26/2010
AFCB,Athens Bancshares Corp ,,1472093,11/6/2015
AFCO,American Farmland Co,,1474777,11/14/2016
AFFX,Affymetrix Inc ,ZZBUNDSZ6C10YEZJCR94,913077,2/18/2016
AFG,American Financial Group Inc,549300AFOM7IVKIU1G39,1042046,5/5/2017
AFH,Atlas Financial Holdings Inc,,1539894,5/8/2017
AFI,Armstrong Flooring Inc,549300GBU3OBQ2CBLJ59,1655075,5/8/2017
AFL,Aflac Inc,549300N0B7DOGLXWPP39,4977,5/3/2017
AFMD,Affimed NV,5493004V4FSXT1D04610,1608390,
AFOP,Alliance Fiber Optic Products Inc ,,1122342,5/2/2016
AFSI,AmTrust Financial Services Inc,549300SNNS1GRWBTGA28,1365555,5/10/2017
AFT,Apollo Senior Floating Rate Fund,,1502573,
AG,First Majestic Silver Corp,,1308648,
AGA,DB Agriculture Double Short ETN,,,
AGC,Advent Claymore Convertible Securities & Income Fund II,ZEFY1K43K8JK66NIVK50,1219120,
AGCO,AGCO Corp,LYOM0B2GCF1JWXK5ZG04,880266,5/9/2017
AGD,Alpine Global Dynamic Dividend Fund,,1362481,
AGEN,Agenus Inc,,1098972,5/4/2017
AGF,DB Agriculture Long ETN,,,
AGFS,AgroFresh Solutions Inc,549300SBHHYUXDIB7F37,1592016,5/9/2017
AGI,Alamos Gold Inc,549300TDOX73YGYXE959,1178819,
AGII,Argo Group International Holdings Ltd,549300M4T8Y5TTWI6O03,1091748,5/5/2017
AGIO,Agios Pharmaceuticals Inc,,1439222,5/4/2017
AGLE,Aeglea Bio Therapeutics Inc,,1636282,5/9/2017
AGM,Federal Agricultural Mortgage Corp,549300MS654K78GYF580,845877,5/10/2017
AGN,Allergan plc,6T6CAG8O6TSUTMO6BA21,1578845,5/9/2017
AGNC,Agnc Investment Corp,,1423689,5/8/2017
AGO,Assured Guaranty Ltd,,1273813,5/5/2017
